"code","location","term","estimate","std.error","statistic","p.value","conf.low","conf.high","n_obs"
"VCT","Saint Vincent and the Grenadines","ext_pc_lag",0.391875893743874,0.440388200833858,0.889841946268932,0.384129702000989,-0.526757795802733,1.31050958329048,22
"TLS","Timor-Leste","ext_pc_lag",0.400910287309237,0.21703902265852,1.84718067008628,0.0822006802310949,-0.0570020236934267,0.8588225983119,19
"BTN","Bhutan","ext_pc_lag",0.44582530682191,0.686620575350536,0.649303738959912,0.523529517073567,-0.986440115499967,1.87809072914379,22
"NIC","Nicaragua","ext_pc_lag",0.500414991377546,0.385652792856402,1.29757906761452,0.209199664114405,-0.304042637856902,1.30487262061199,22
"NRU","Nauru","ext_pc_lag",0.523286849096633,0.257164961775946,2.03482949420047,0.0553405388396033,-0.0131498610855144,1.05972355927878,22
"NPL","Nepal","ext_pc_lag",0.568556817042192,0.14030403057469,4.05231991350046,0.000622507879561703,0.275887737759317,0.861225896325068,22
"GAB","Gabon","ext_pc_lag",0.652176823180225,0.752006809720725,0.867248560451767,0.39609217562413,-0.916481893992224,2.22083554035267,22
"BLZ","Belize","ext_pc_lag",0.689806089227345,0.53852023187913,1.28092882753971,0.214873555571831,-0.433527430085658,1.81313960854035,22
"GNQ","Equatorial Guinea","ext_pc_lag",0.710209655915747,0.669970837675313,1.06006055185933,0.301751871799845,-0.687325022209049,2.10774433404054,22
"ISR","Israel","ext_pc_lag",0.776275466711913,3.80937257818596,0.203780399732278,0.840584303601231,-7.16993648840093,8.72248742182475,22
"MUS","Mauritius","ext_pc_lag",0.823279794691526,1.0912383006959,0.754445471870361,0.459373607396885,-1.45300341281663,3.09956300219968,22
"MDV","Maldives","ext_pc_lag",0.845262906622273,0.560365459527873,1.50841364729089,0.14708417919282,-0.323638959063209,2.01416477230775,22
"PAN","Panama","ext_pc_lag",0.907331646682619,1.9396221986045,0.467787823492337,0.644993483081479,-3.13864936111182,4.95331265447706,22
"CRI","Costa Rica","ext_pc_lag",0.996851595666294,7.35839881360561,0.135471265001718,0.893593494771228,-14.3524993599195,16.3462025512521,22
"GTM","Guatemala","ext_pc_lag",1.02627040675356,0.417207475171268,2.45985622940304,0.023128460040446,0.15599086362021,1.8965499498869,22
"VNM","Viet Nam","ext_pc_lag",1.28711604408606,1.21167156296418,1.06226479470833,0.300774651759626,-1.24038654634871,3.81461863452083,22
"DMA","Dominica","ext_pc_lag",1.44001217859252,0.343547098898361,4.19160046238245,0.000449458814246132,0.723385487876308,2.15663886930873,22
"TKM","Turkmenistan","ext_pc_lag",1.4675241164053,7.01775876183629,0.209115782717687,0.836473077899298,-13.171264142515,16.1063123753256,22
"SYC","Seychelles","ext_pc_lag",1.78187015859294,1.08071949457898,1.64878136050197,0.114812486849261,-0.472471203846459,4.03621152103233,22
"PER","Peru","ext_pc_lag",2.34625069390581,2.96877630097908,0.790309021643709,0.438618345445179,-3.84650815304572,8.53900954085734,22
"IRN","Iran (Islamic Republic of)","ext_pc_lag",2.77419463652326,32.0902521540424,0.086449761229869,0.931968539842445,-64.1648983703539,69.7132876434004,22
"JAM","Jamaica","ext_pc_lag",2.83361935446515,2.97529605548555,0.952382318136312,0.352272296558522,-3.37273946207201,9.03997817100232,22
"BOL","Bolivia (Plurinational State of)","ext_pc_lag",3.18940279363407,0.918028259556275,3.47418803335711,0.00239393186136731,1.27442940064258,5.10437618662556,22
"COL","Colombia","ext_pc_lag",3.46787220541529,5.52125090907508,0.628095383188486,0.542761662708895,-8.68431911060144,15.620063521432,13
"EGY","Egypt","ext_pc_lag",3.65143940544229,2.68832265923515,1.35825935659121,0.192134934189467,-2.02042561925431,9.32330443013889,19
"ARG","Argentina","ext_pc_lag",4.17821458830692,6.22809647961468,0.670865424449144,0.509980295465379,-8.81336701421451,17.1697961908283,22
"SRB","Serbia","ext_pc_lag",4.94495291410835,6.30928276299752,0.78375832877698,0.443965468994079,-8.36647014421905,18.2563759724358,19
"TTO","Trinidad and Tobago","ext_pc_lag",5.02742774713469,9.26687285246853,0.542516103023413,0.593457521855035,-14.302930293575,24.3577857878444,22
"LTU","Lithuania","ext_pc_lag",5.77347978712162,6.89841104847172,0.836928931395105,0.41252167620013,-8.61635350420537,20.1633130784486,22
"IRQ","Iraq","ext_pc_lag",5.82133029634449,4.29623984814258,1.35498261319402,0.193156401857551,-3.24294346137496,14.8856040540639,19
"LUX","Luxembourg","ext_pc_lag",10.0919633349064,6.41418308529953,1.57338248701318,0.150081336433177,-4.41792687500299,24.6018535448158,11
"ATG","Antigua and Barbuda","ext_pc_lag",10.4851649026444,16.2325397476893,0.64593495938533,0.525664268939677,-23.3753196673257,44.3456494726145,22
"BHS","Bahamas","ext_pc_lag",14.3357113534695,14.4963465603139,0.988918917868304,0.334516853362947,-15.9031376902435,44.5745603971825,22
"NOR","Norway","ext_pc_lag",24.202125062391,85.763627741402,0.282195677815381,0.78069304404429,-154.69766751109,203.101917635872,22
"KAZ","Kazakhstan","ext_pc_lag",25.3535155215694,14.0396205515546,1.80585475429833,0.104418269921115,-6.40631267209871,57.1133437152375,11
"CUB","Cuba","ext_pc_lag",34.0257225720502,45.8941537001232,0.741395577187838,0.468017045163853,-62.3943164547485,130.445761598849,20
"CHN","China","ext_pc_lag",35.1796998026517,35.5946908640359,0.988341209003066,0.334792687175298,-39.0695242564555,109.428923861759,22
"URY","Uruguay","ext_pc_lag",39.8511081710007,92.7202148915124,0.42979956655222,0.672739840731248,-155.771445587165,235.473661929166,19
"NLD","Netherlands (Kingdom of the)","ext_pc_lag",54.3342148187345,51.8663681656828,1.04758086483265,0.307327453570709,-53.8571333173137,162.525562954783,22
"RUS","Russian Federation","ext_pc_lag",88.5543337380693,481.347394064001,0.183971773463668,0.859251522137675,-1049.65138770666,1226.76005518279,9
"CHL","Chile","ext_pc_lag",182.554420079895,255.586652856861,0.714256468557195,0.483322263479448,-350.589995388546,715.698835548337,22
